type,ticker,buy_sell,date,amount,unit_value,total_value,source
FIIs,RURA11,Compra,12/06/2024,22,9.65,212.30,MANUAL
FIIs,BTCI11,Compra,12/06/2024,21,9.97,209.37,MANUAL
Ações,PETR4,Compra,12/06/2024,20,36.89,737.80,MANUAL
Ações,WEGE3,Compra,03/05/2024,2,38.54,77.08,MANUAL
Ações,ITUB4,Compra,03/05/2024,10,32.43,324.30,MANUAL
Ações,PETR4,Compra,18/04/2024,13,40.33,524.29,MANUAL
Ações,BBAS3,Compra,18/04/2024,18,28.19,507.42,MANUAL
FIIs,GARE11,Compra,07/03/2024,2,9.04,18.08,MANUAL
FIIs,GARE11,Compra,07/03/2024,190,9.04,1717.60,MANUAL
FIIs,MXRF11,Compra,07/03/2024,1,10.27,10.27,MANUAL
FIIs,MXRF11,Compra,05/03/2024,168,10.26,1723.68,MANUAL
FIIs,RURA11,Compra,05/03/2024,173,9.91,1714.43,MANUAL
FIIs,VGIR11,Compra,16/02/2024,70,9.73,681.10,MANUAL
Ações,VIVA3,Venda,26/12/2023,3,33.64,100.92,MANUAL
FIIs,VGIR11,Compra,26/12/2023,76,9.69,736.44,MANUAL
FIIs,BTCI11,Compra,10/10/2023,52,9.79,509.08,MANUAL
FIIs,BTCI11,Compra,02/10/2023,61,9.94,606.34,MANUAL
FIIs,VGIR11,Compra,02/10/2023,62,9.80,607.60,MANUAL
FIIs,BTCI11,Compra,14/09/2023,15,9.63,144.45,MANUAL
FIIs,BTCI11,Compra,01/09/2023,10,9.57,95.70,MANUAL
Ações,VIVA3,Compra,01/09/2023,3,28.33,84.99,MANUAL
